[0808/214539.568:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0811/130554.555:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130559.584:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130604.603:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130610.247:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130615.275:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130620.313:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130625.331:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130630.344:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130636.501:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130641.864:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130647.403:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130652.890:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130658.160:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130703.497:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130708.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130714.015:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130719.042:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130724.063:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130729.106:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130734.302:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130739.329:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130744.357:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130749.437:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130754.474:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0811/130759.490:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
